Title,Price,Area,Area-Type
"3 BHK Flat for Sale in Bejai, Mangalore",₹60 Lac,1485 sqft,Super Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹56.2 Lac,1070 sqft,Super Area
"2 BHK Flat for Sale in Bondel, Mangalore",₹62 Lac,1200 sqft,Carpet Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹1.30 Cr,1440 sqft,Carpet Area
"3 BHK Flat for Sale in Attavar, Mangalore",₹65 Lac,1699 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹68 Lac,1240 sqft,Carpet Area
"2 BHK Flat for Sale in Kankanady, Mangalore",₹25 Lac,750 sqft,Super Area
"2 BHK Flat for Sale in Subhashnagar, Mangalore",₹51 Lac,1225 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹3.10 Cr,2700 sqft,Carpet Area
"1 BHK Flat for Sale in Boloor, Mangalore",₹18 Lac,750 sqft,Super Area
"2 BHK Flat for Sale in Mary Hill, Mangalore",₹33 Lac,1000 sqft,Carpet Area
"2 BHK Flat for Sale in Car Street, Mangalore",₹52 Lac,1090 sqft,Carpet Area
"2 BHK Flat for Sale in Konchady Cross Road, Mangalore",₹45 Lac,1160 sqft,Super Area
"3 BHK Flat for Sale in Kadri Hills, Mangalore",₹61 Lac,1430 sqft,Super Area
"2 BHK Flat for Sale in Barebail Road, Mangalore",₹35 Lac,780 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹45 Lac,1000 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹90 Lac,1350 sqft,Carpet Area
"3 BHK Flat for Sale in Urwa, Mangalore",₹1.65 Cr,2235 sqft,Carpet Area
"3 BHK Flat for Sale in Kudroli, Mangalore",₹1.52 Cr,1942 sqft,Super Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹98 Lac,1224 sqft,Super Area
"2 BHK Flat for Sale in Kadri Hills, Mangalore",₹1.03 Cr,1525 sqft,Super Area
"3 BHK Flat for Sale in Kadri Hills, Mangalore",₹1.35 Cr,2005 sqft,Super Area
"3 BHK Flat for Sale in Kadri Hills, Mangalore",₹1.51 Cr,2255 sqft,Super Area
"2 BHK Flat for Sale in Kadri Hills, Mangalore",₹70 Lac,1390 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹50 Lac,1250 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai Kapikad Road, Mangalore",Call for Price,1140 sqft,Super Area
"2 BHK Flat for Sale in Moodabidri, Mangalore",₹30 Lac,1000 sqft,Super Area
"2 BHK Flat for Sale in Shiva bagh, Mangalore",₹42 Lac,1200 sqft,Super Area
"3 BHK Flat for Sale in Nantoor, Mangalore",Call for Price,1380 sqft,Carpet Area
"3 BHK Flat for Sale in Padil, Mangalore",₹90 Lac,2220 sqft,Super Area
"3 BHK Flat for Sale in Kodalguttu, Mangalore",₹75 Lac,1750 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.22 Cr,1650 sqft,Carpet Area
"2 BHK Flat for Sale in Bunder, Mangalore",₹25 Lac,800 sqft,Super Area
"2 BHK Flat for Sale in Bunder, Mangalore",₹55 Lac,1100 sqft,Super Area
